Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,199.997,-62.67,180,bottom
C2,1uF,C_0402_1005Metric,195.64,-54.67,180,bottom
C3,100nF,C_0402_1005Metric,218.3,-56.395,90,bottom
C4,1uF,C_0402_1005Metric,204.57125,-64.026018,90,bottom
C5,100nF,C_0402_1005Metric,215.861,-62.23225,90,bottom
C6,100nF,C_0402_1005Metric,204.924,-77.85325,-90,bottom
C7,22pF,C_0402_1005Metric,213.052,-81.679018,-90,bottom
C8,22pF,C_0402_1005Metric,206.34925,-81.425018,90,bottom
C9,10uF,C_0402_1005Metric,199.997,-61.47,0,bottom
C10,1uF,C_0402_1005Metric,209.14,-61.67,90,bottom
C12,100nF,C_0402_1005Metric,203.55525,-64.026018,90,bottom
C13,100nF,C_0402_1005Metric,216.64,-67.67,0,bottom
C14,100nF,C_0402_1005Metric,206.448,-77.85325,-90,bottom
C15,100nF,C_0402_1005Metric,200.301741,-72.786258,-135,bottom
C16,100nF,C_0402_1005Metric,200.86,-65.28025,180,bottom
C17,100nF,C_0402_1005Metric,200.86,-66.80425,180,bottom
D1,Schottky Diode,D_SOD-123,196.14,-60.67,180,bottom
D3,GREEN,LED_0805_2012Metric,189.4295,-68.72,0,bottom
R4,470,R_0402_1005Metric,192.057,-68.73,180,bottom
R5,5.6k,R_0603_1608Metric,191.887,-64.975,-90,bottom
R6,10k,R_0603_1608Metric,190.347,-64.97,90,bottom
R8,27,R_0603_1608Metric,207.075,-61.48,180,bottom
R9,27,R_0603_1608Metric,206.365,-59.98,180,bottom
R10,1k,R_0402_1005Metric,226.54,-49.87,0,bottom
R11,1k,R_0402_1005Metric,208.48,-77.85325,90,bottom
SW1,Boot,SW_SPST_SKQG_WithStem,221.32,-49.63,0,bottom
SW13,MX_SW_HS,SW_MX_HS_1u,241.447232,-66.595127,180,bottom
SW14,MX_SW_HS,SW_MX_HS_1u,263.956859,-48.144517,180,bottom
SW16,MX_SW_HS,SW_MX_HS_1u,292.115673,-43.679333,180,bottom
SW18,MX_SW_HS,SW_MX_HS_1u,321.595568,-52.381907,180,bottom
SW21,MX_SW_HS,SW_MX_HS_1u,248.342967,-92.263373,180,bottom
SW22,MX_SW_HS,SW_MX_HS_1u,270.852853,-73.813729,180,bottom
SW24,MX_SW_HS,SW_MX_HS_1u,299.011667,-69.348545,180,bottom
SW26,MX_SW_HS,SW_MX_HS_1u,328.491562,-78.051119,180,bottom
SW32,MX_SW_HS,SW_MX_HS_1u,211.836182,-133.583438,180,bottom
SW34,MX_SW_HS,SW_MX_HS_1u,230.668565,-117.47896,180,bottom
SW36,MX_SW_HS,SW_MX_HS_1u,214.907454,-160.705835,180,bottom
SW39,MX_SW_HS,SW_MX_HS_1u,237.739837,-142.601357,180,bottom
SW40,MX_SW_HS,SW_MX_HS_1u,255.635123,-121.847547,180,bottom
U1,XC6206,SOT-23,195.14,-57.1075,90,bottom
U2,X05A26H12G,FPC-SMD_X05A26H12G,207.337,-56.265,0,bottom
U3,RP2040,RP2040-QFN-56,207.337,-70.265,180,bottom
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,223.467,-58.92,180,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,209.623,-81.40925,0,bottom
,,,198.64,-45.67,0,top
,,,216.14,-36.67,0,top
J2,GC 1,GameCubeHeader,235.802408,-37.478241,0,top
